test	machine	time	rows	dataset	matches	ndistinct	build	prefetch	table_size	index_size	scan_type	caching	run	value	nfound	cost	duration	point_cheapest	indexscan	bitmapscan	seqscan
btree	i5	1687996810	1000000	cycle	100000	10	master	0	43479	850	indexscan	cached	1	1	100001	174119.24	82.094	f	174138.22	45856.57	55979.21
btree	i5	1687996813	1000000	cycle	100000	10	master	0	43479	850	indexscan	cached	2	2	100001	174137.02	83.897	f	174138.22	45856.57	55979.21
btree	i5	1687996815	1000000	cycle	100000	10	master	0	43479	850	indexscan	cached	3	5	100001	174168.59	83.832	f	174138.22	45856.57	55979.21
btree	i5	1687996817	1000000	cycle	100000	10	master	0	43479	850	indexscan	cached	4	6	100001	174138.22	82.093	f	174138.22	45856.57	55979.21
btree	i5	1687996819	1000000	cycle	100000	10	master	0	43479	850	indexscan	cached	5	9	100001	174157.8	84.637	f	174138.22	45856.57	55979.21
btree	i5	1687996812	1000000	cycle	100000	10	master	0	43479	850	seqscan	cached	1	2	100001	55979.21	183.993	f	174138.22	45856.57	55979.21
btree	i5	1687996834	1000000	cycle	100000	10	patched	0	43479	850	bitmapscan	cached	1	2	100001	45825.55	96.941	t	174137.02	45826.91	55979.21
btree	i5	1687996836	1000000	cycle	100000	10	patched	0	43479	850	bitmapscan	cached	2	3	100001	45895.66	96.707	t	174137.02	45826.91	55979.21
btree	i5	1687996838	1000000	cycle	100000	10	patched	0	43479	850	bitmapscan	cached	3	6	100001	45826.91	96.645	t	174137.02	45826.91	55979.21
btree	i5	1687996840	1000000	cycle	100000	10	patched	0	43479	850	bitmapscan	cached	4	7	100001	45824.88	97.834	t	174137.02	45826.91	55979.21
btree	i5	1687996842	1000000	cycle	100000	10	patched	0	43479	850	bitmapscan	cached	5	10	100001	45850.49	96.588	t	174137.02	45826.91	55979.21
btree	i5	1687996833	1000000	cycle	100000	10	patched	0	43479	850	indexscan	cached	1	0	1	8.4	7.196	f	174137.02	45826.91	55979.21
btree	i5	1687996835	1000000	cycle	100000	10	patched	0	43479	850	indexscan	cached	2	2	100001	174137.02	82.901	f	174137.02	45826.91	55979.21
btree	i5	1687996837	1000000	cycle	100000	10	patched	0	43479	850	indexscan	cached	3	6	100001	174138.22	80.41	f	174137.02	45826.91	55979.21
btree	i5	1687996839	1000000	cycle	100000	10	patched	0	43479	850	indexscan	cached	4	7	100001	174136.42	80.546	f	174137.02	45826.91	55979.21
btree	i5	1687996841	1000000	cycle	100000	10	patched	0	43479	850	indexscan	cached	5	10	100001	174159.61	81.558	f	174137.02	45826.91	55979.21
btree	i5	1687996834	1000000	cycle	100000	10	patched	0	43479	850	seqscan	cached	1	1	100001	55979.21	182.137	f	174137.02	45826.91	55979.21
btree	i5	1687996793	1000000	cycle	1	1000000	master	32	43479	2745	bitmapscan	cached	1	198628	2	8.45	7.092	f	8.44	8.45	55979.21
btree	i5	1687996794	1000000	cycle	1	1000000	master	32	43479	2745	bitmapscan	cached	2	316054	2	8.45	7.083	f	8.44	8.45	55979.21
btree	i5	1687996795	1000000	cycle	1	1000000	master	32	43479	2745	bitmapscan	cached	3	433288	2	8.45	7.145	f	8.44	8.45	55979.21
btree	i5	1687996796	1000000	cycle	1	1000000	master	32	43479	2745	bitmapscan	cached	4	763663	2	8.45	7.263	f	8.44	8.45	55979.21
btree	i5	1687996796	1000000	cycle	1	1000000	master	32	43479	2745	bitmapscan	cached	5	908711	2	8.45	7.155	f	8.44	8.45	55979.21
btree	i5	1687996792	1000000	cycle	1	1000000	master	32	43479	2745	indexscan	cached	1	47746	2	8.44	7.201	t	8.44	8.45	55979.21
btree	i5	1687996794	1000000	cycle	1	1000000	master	32	43479	2745	indexscan	cached	2	222354	2	8.44	7.199	t	8.44	8.45	55979.21
btree	i5	1687996794	1000000	cycle	1	1000000	master	32	43479	2745	indexscan	cached	3	455402	2	8.44	7.108	t	8.44	8.45	55979.21
btree	i5	1687996795	1000000	cycle	1	1000000	master	32	43479	2745	indexscan	cached	4	763233	2	8.44	6.831	t	8.44	8.45	55979.21
btree	i5	1687996796	1000000	cycle	1	1000000	master	32	43479	2745	indexscan	cached	5	962624	2	8.44	7.225	t	8.44	8.45	55979.21
btree	i5	1687996793	1000000	cycle	1	1000000	master	32	43479	2745	seqscan	cached	1	197900	2	55979.21	142.84	f	8.44	8.45	55979.21
btree	i5	1687996802	1000000	cycle	1	1000000	patched	32	43479	2745	bitmapscan	cached	1	37701	2	8.45	7.121	f	8.44	8.45	55979.21
btree	i5	1687996803	1000000	cycle	1	1000000	patched	32	43479	2745	bitmapscan	cached	2	310131	2	8.45	7.177	f	8.44	8.45	55979.21
btree	i5	1687996804	1000000	cycle	1	1000000	patched	32	43479	2745	bitmapscan	cached	3	490692	2	8.45	7.057	f	8.44	8.45	55979.21
btree	i5	1687996805	1000000	cycle	1	1000000	patched	32	43479	2745	bitmapscan	cached	4	745141	2	8.45	7.314	f	8.44	8.45	55979.21
btree	i5	1687996805	1000000	cycle	1	1000000	patched	32	43479	2745	bitmapscan	cached	5	801151	2	8.45	7.145	f	8.44	8.45	55979.21
btree	i5	1687996801	1000000	cycle	1	1000000	patched	32	43479	2745	indexscan	cached	1	90558	2	8.44	7.11	t	8.44	8.45	55979.21
btree	i5	1687996803	1000000	cycle	1	1000000	patched	32	43479	2745	indexscan	cached	2	248503	2	8.44	7.128	t	8.44	8.45	55979.21
btree	i5	1687996804	1000000	cycle	1	1000000	patched	32	43479	2745	indexscan	cached	3	429961	2	8.44	7.052	t	8.44	8.45	55979.21
btree	i5	1687996804	1000000	cycle	1	1000000	patched	32	43479	2745	indexscan	cached	4	650118	2	8.44	7.027	t	8.44	8.45	55979.21
btree	i5	1687996805	1000000	cycle	1	1000000	patched	32	43479	2745	indexscan	cached	5	900373	2	8.44	7.003	t	8.44	8.45	55979.21
btree	i5	1687996802	1000000	cycle	1	1000000	patched	32	43479	2745	seqscan	cached	1	182224	2	55979.21	142.912	f	8.44	8.45	55979.21
btree	i5	1687996686	1000000	cycle	10	100000	master	32	43479	1157	bitmapscan	cached	1	5035	11	44.17	7.196	t	44.29	44.17	55979.21
btree	i5	1687996687	1000000	cycle	10	100000	master	32	43479	1157	bitmapscan	cached	2	25078	11	44.17	7.135	t	44.29	44.17	55979.21
btree	i5	1687996688	1000000	cycle	10	100000	master	32	43479	1157	bitmapscan	cached	3	57116	11	44.17	7.077	t	44.29	44.17	55979.21
btree	i5	1687996689	1000000	cycle	10	100000	master	32	43479	1157	bitmapscan	cached	4	75629	11	44.17	7.166	t	44.29	44.17	55979.21
btree	i5	1687996689	1000000	cycle	10	100000	master	32	43479	1157	bitmapscan	cached	5	88867	11	44.17	7.144	t	44.29	44.17	55979.21
btree	i5	1687996686	1000000	cycle	10	100000	master	32	43479	1157	indexscan	cached	1	10082	11	44.29	6.996	f	44.29	44.17	55979.21
btree	i5	1687996687	1000000	cycle	10	100000	master	32	43479	1157	indexscan	cached	2	21245	11	44.29	7.184	f	44.29	44.17	55979.21
btree	i5	1687996688	1000000	cycle	10	100000	master	32	43479	1157	indexscan	cached	3	53099	11	44.29	7.157	f	44.29	44.17	55979.21
btree	i5	1687996688	1000000	cycle	10	100000	master	32	43479	1157	indexscan	cached	4	68940	11	44.29	7.258	f	44.29	44.17	55979.21
btree	i5	1687996689	1000000	cycle	10	100000	master	32	43479	1157	indexscan	cached	5	95445	11	44.29	7.178	f	44.29	44.17	55979.21
btree	i5	1687996687	1000000	cycle	10	100000	master	32	43479	1157	seqscan	cached	1	10964	11	55979.21	151.399	f	44.29	44.17	55979.21
btree	i5	1687996695	1000000	cycle	10	100000	patched	32	43479	1157	bitmapscan	cached	1	10525	11	44.17	7.319	t	44.29	44.17	55979.21
btree	i5	1687996697	1000000	cycle	10	100000	patched	32	43479	1157	bitmapscan	cached	2	29365	11	44.17	6.974	t	44.29	44.17	55979.21
btree	i5	1687996697	1000000	cycle	10	100000	patched	32	43479	1157	bitmapscan	cached	3	58553	11	44.17	7.201	t	44.29	44.17	55979.21
btree	i5	1687996698	1000000	cycle	10	100000	patched	32	43479	1157	bitmapscan	cached	4	61589	11	44.17	7.227	t	44.29	44.17	55979.21
btree	i5	1687996699	1000000	cycle	10	100000	patched	32	43479	1157	bitmapscan	cached	5	92658	11	44.17	7.476	t	44.29	44.17	55979.21
btree	i5	1687996695	1000000	cycle	10	100000	patched	32	43479	1157	indexscan	cached	1	17000	11	44.29	7.251	f	44.29	44.17	55979.21
btree	i5	1687996696	1000000	cycle	10	100000	patched	32	43479	1157	indexscan	cached	2	25896	11	44.29	7.196	f	44.29	44.17	55979.21
btree	i5	1687996697	1000000	cycle	10	100000	patched	32	43479	1157	indexscan	cached	3	56539	11	44.29	7.473	f	44.29	44.17	55979.21
btree	i5	1687996698	1000000	cycle	10	100000	patched	32	43479	1157	indexscan	cached	4	74342	11	44.29	7.076	f	44.29	44.17	55979.21
btree	i5	1687996698	1000000	cycle	10	100000	patched	32	43479	1157	indexscan	cached	5	92692	11	44.29	7.162	f	44.29	44.17	55979.21
btree	i5	1687996696	1000000	cycle	10	100000	patched	32	43479	1157	seqscan	cached	1	3989	11	55979.21	142.509	f	44.29	44.17	55979.21
btree	i5	1687996771	1000000	cycle	100	10000	master	32	43479	839	bitmapscan	cached	1	372	101	388.26	7.486	t	402.15	388.26	55979.21
btree	i5	1687996772	1000000	cycle	100	10000	master	32	43479	839	bitmapscan	cached	2	2176	101	388.26	7.339	t	402.15	388.26	55979.21
btree	i5	1687996773	1000000	cycle	100	10000	master	32	43479	839	bitmapscan	cached	3	4645	101	388.26	7.329	t	402.15	388.26	55979.21
btree	i5	1687996774	1000000	cycle	100	10000	master	32	43479	839	bitmapscan	cached	4	6017	101	388.26	7.528	t	402.15	388.26	55979.21
btree	i5	1687996775	1000000	cycle	100	10000	master	32	43479	839	bitmapscan	cached	5	9808	101	388.26	7.38	t	402.15	388.26	55979.21
btree	i5	1687996771	1000000	cycle	100	10000	master	32	43479	839	indexscan	cached	1	678	101	402.15	7.444	f	402.15	388.26	55979.21
