test	machine	rows	dataset	nmatches	ndistinct	build	prefetch	scan_type	caching	duration
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexonlyscan-clean	uncached	12.695
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexscan	cached	7.5
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexscan	cached-os	7.841
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	indexscan	uncached	13.172
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	seqscan	cached	127.981
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	seqscan	cached-os	142.598
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	0	seqscan	uncached	363.668
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	bitmapscan	cached	7.663
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	bitmapscan	cached-os	7.702
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	bitmapscan	uncached	12.708
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan	cached	7.659
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan	cached-os	7.768
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan	uncached	15.022
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan-clean	cached	7.683
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan-clean	cached-os	7.716
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexonlyscan-clean	uncached	12.941
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexscan	cached	7.736
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexscan	cached-os	7.806
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	indexscan	uncached	15.1
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	seqscan	cached	129.996
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	seqscan	cached-os	144.954
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	8	seqscan	uncached	381.195
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	bitmapscan	cached	7.7
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	bitmapscan	cached-os	7.75
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	bitmapscan	uncached	13.814
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	indexonlyscan	cached	7.469
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	indexonlyscan	cached-os	7.764
btree	i5	1000000	cycle	1	1000000	7-20231016-rework	32	indexonlyscan	uncached	12.705
